Oil Drop,Rise Time 1,Fall Time 1,Rise Time 2,Fall Time 2,Rise Time 3,Fall Time 3,Rise Time 4,Fall Time 4,Rise Time 5,Fall Time 5,Rise Time 6,Fall Time 6,Rise Time 7,Fall Time 7,Rise Time 8,Fall Time 8,Rise Time 9,Fall Time 9,Rise Time 10,Fall Time 10,Pressure,Temperature
1,6,3.9,5.64,4.19,3.67,4.01,3.57,4.02,3.61,4.18,3.82,4,3.72,3.78,3.67,3.91,3.59,3.91,3.7,3.85,69.77,21.5
2,9.55,5.41,10.79,5.15,9.99,4.97,10.14,5.59,11.61,5.53,11.19,5.39,9.77,5.26,10.81,5.14,10,4.99,9.78,5.14,69.77,21.5
3,13.74,4.42,13.43,4.49,13.14,4.65,13.27,4.62,12.64,4.52,11.85,4.45,13.34,4.54,13.47,4.82,12.56,4.65,14.38,4.52,69.77,21.5
4,6.83,3.29,6.9,3.37,6.96,3.33,6.89,3.24,6.81,3.32,6.74,3.34,6.68,3.29,6.57,3.38,6.63,3.32,6.78,3.31,69.77,21.5
5,9.98,6.41,9.37,7.23,9.22,6.62,10.21,6.44,9.92,6.46,9.74,7.1,9.77,6.53,10.09,6.7,9.91,6.5,10.24,6.86,69.77,21.6
6,6.49,4.7,6.33,4.99,6.23,4.54,6.44,4.77,6.56,4.8,6.63,4.83,6.31,4.77,6.42,4.63,6.22,4.72,6.31,4.76,70.96,22
7,6.76,6.9,6.92,7.3,6.49,7.21,7.01,6.9,6.72,6.79,6.72,6.78,7.08,6.94,6.74,7.22,6.82,7.2,6.99,6.64,70.96,22
8,8.79,6.04,9.68,5.82,9.47,5.81,9.69,6.24,10.03,6.24,9.64,5.76,9.05,5.6,9.46,5.93,9.51,6.15,9.69,5.62,70.96,22
9,4.83,11.28,5.26,12.05,4.4,11.6,5.07,12.26,5.06,11.64,4.89,10.79,5.3,10.52,5.15,11.6,5.13,11.9,4.63,11.75,70.96,22
10,6.87,9.55,7.51,9.71,7.59,9.61,7.6,9.21,7.31,10.4,7.13,9.77,7.08,9.28,7.68,10.3,6.8,9.26,7.12,9.78,70.96,22
